371,Invalid join date
371,Invalid last purchase date
371,Invalid churned value
372,Invalid join date
372,Invalid last purchase date
372,Invalid churned value
373,Invalid join date
373,Invalid last purchase date
373,Invalid churned value
374,Invalid join date
374,Invalid last purchase date
374,Invalid churned value
375,Invalid join date
375,Invalid last purchase date
375,Invalid churned value
376,Invalid join date
376,Invalid last purchase date
376,Invalid churned value
377,Invalid join date
377,Invalid last purchase date
378,Invalid join date
378,Invalid last purchase date
378,Invalid churned value
379,Invalid join date
379,Invalid last purchase date
379,Invalid churned value
380,Invalid join date
380,Invalid last purchase date
380,Invalid churned value
381,Invalid join date
381,Invalid last purchase date
381,Invalid churned value
382,Invalid join date
382,Invalid last purchase date
382,Invalid churned value
383,Invalid join date
383,Invalid last purchase date
383,Invalid churned value
384,Invalid join date
384,Invalid last purchase date
384,Invalid churned value
385,Invalid join date
385,Invalid last purchase date
385,Invalid churned value
386,Invalid join date
386,Invalid last purchase date
386,Invalid churned value
387,Invalid join date
387,Invalid last purchase date
387,Invalid churned value
388,Invalid join date
388,Invalid last purchase date
388,Invalid churned value
389,Invalid join date
389,Invalid last purchase date
389,Invalid churned value
390,Invalid join date
390,Invalid last purchase date
390,Invalid churned value
391,Invalid join date
391,Invalid last purchase date
391,Invalid churned value
392,Invalid join date
392,Invalid last purchase date
392,Invalid churned value
393,Invalid join date
393,Invalid last purchase date
393,Invalid churned value
394,Invalid join date
394,Invalid last purchase date
394,Invalid churned value
395,Invalid join date
395,Invalid last purchase date
395,Invalid churned value
396,Invalid join date
396,Invalid last purchase date
396,Invalid churned value
397,Invalid join date
397,Invalid last purchase date
397,Invalid churned value
398,Invalid join date
398,Invalid last purchase date
398,Invalid churned value
399,Invalid join date
399,Invalid last purchase date
399,Invalid churned value
400,Invalid join date
400,Invalid last purchase date
400,Invalid churned value
401,Invalid join date
401,Invalid last purchase date
401,Invalid churned value
402,Invalid join date
402,Invalid last purchase date
402,Invalid churned value
403,Invalid join date
403,Invalid last purchase date
403,Invalid churned value
404,Invalid join date
404,Invalid last purchase date
404,Invalid churned value
